report_id,family_id,prior_reports_12mo,prior_substantiated_flag,days_since_last_report,n_children_in_household,child_age_under_5,dv_history_flag,substance_use_flag,shelter_involvement_flag,days_to_first_contact,reporter_accuracy_score,caseworker_caseload,needs_investigative_consultation
SCR000023,FAM00277,0,0,,4,1,0,0.0,0,2.0,0.285,60,1
SCR000024,FAM00161,1,0,343.0,3,1,0,,0,1.0,0.529,51,0
SCR000025,FAM00460,2,0,230.0,1,0,0,0.0,0,4.0,0.4,35,0
SCR000026,FAM00314,0,0,,3,0,1,,0,3.0,0.265,62,0
SCR000027,FAM00022,1,0,310.0,2,0,1,0.0,0,4.0,0.311,58,1
SCR000028,FAM00253,0,0,,3,1,0,,0,1.0,0.323,50,0
SCR000029,FAM00561,3,0,49.0,2,0,0,1.0,0,1.0,0.18,59,0
SCR000030,FAM00475,0,0,,3,0,1,0.0,0,6.0,0.391,50,0
SCR000031,FAM00059,0,0,,5,1,1,0.0,0,1.0,0.388,65,1
SCR000032,FAM00511,2,0,48.0,1,0,0,0.0,0,4.0,0.433,51,0
SCR000033,FAM00476,1,0,269.0,2,1,0,0.0,0,4.0,0.269,75,0
SCR000034,FAM00190,0,0,,2,0,0,0.0,0,3.0,0.22,49,0
SCR000035,FAM00563,0,0,,1,1,0,0.0,0,1.0,0.319,51,0
SCR000036,FAM00567,0,1,,1,0,0,1.0,0,3.0,0.443,69,1
SCR000037,FAM00244,0,0,,1,1,0,1.0,0,5.0,0.241,40,1
SCR000038,FAM00505,2,0,358.0,2,0,1,0.0,0,,0.312,76,0
SCR000039,FAM00131,1,0,134.0,2,0,0,1.0,0,2.0,0.309,60,0
SCR000040,FAM00485,0,0,,2,0,1,,0,2.0,0.347,69,0
SCR000041,FAM00647,1,0,327.0,1,1,1,1.0,0,1.0,0.339,42,1
SCR000042,FAM00021,0,1,,2,0,1,,0,5.0,0.25,47,0
SCR000043,FAM00167,2,1,312.0,4,1,0,0.0,0,5.0,0.374,51,0
SCR000044,FAM00274,0,0,,2,0,1,0.0,0,13.0,0.092,46,0
SCR000045,FAM00388,0,0,,2,1,0,0.0,0,2.0,0.29,67,0
SCR000046,FAM00601,3,0,269.0,3,1,0,1.0,0,3.0,0.13,54,1
SCR000047,FAM00316,0,0,,3,1,0,1.0,0,1.0,0.268,61,0
SCR000048,FAM00014,0,0,,2,0,0,0.0,0,,0.285,44,0
SCR000049,FAM00242,0,0,,4,0,1,1.0,0,3.0,0.379,42,1
SCR000050,FAM00346,2,0,213.0,2,1,1,1.0,0,5.0,0.33,55,1
SCR000051,FAM00565,1,0,156.0,4,0,0,0.0,0,4.0,0.178,79,0
SCR000052,FAM00340,0,0,,1,0,0,0.0,1,6.0,0.473,40,0
SCR000053,FAM00092,0,0,,1,0,0,0.0,0,5.0,0.181,42,0
SCR000054,FAM00367,0,0,,1,0,0,0.0,0,5.0,0.382,62,0
SCR000055,FAM00455,1,0,57.0,3,0,1,0.0,0,1.0,0.36,79,0
SCR000056,FAM00428,1,1,185.0,2,0,0,0.0,1,4.0,0.33,66,0
SCR000057,FAM00509,3,0,54.0,1,1,1,0.0,1,2.0,0.239,67,0
SCR000058,FAM00035,2,1,209.0,1,1,0,0.0,0,1.0,0.352,30,1
SCR000059,FAM00206,1,0,342.0,4,0,0,1.0,1,1.0,0.424,68,0
SCR000060,FAM00081,0,0,,3,0,0,0.0,0,3.0,0.497,56,0
SCR000061,FAM00562,0,0,,2,0,0,0.0,0,1.0,0.239,65,0
SCR000062,FAM00388,1,0,304.0,2,1,0,0.0,0,2.0,0.045,61,0
SCR000063,FAM00002,0,1,,2,0,1,0.0,0,3.0,0.233,70,0
SCR000064,FAM00390,0,0,,2,0,1,0.0,0,5.0,0.347,44,0
SCR000065,FAM00566,2,0,112.0,4,1,0,0.0,0,4.0,0.092,60,0
SCR000066,FAM00106,0,0,,1,1,0,0.0,0,2.0,0.239,35,0
SCR000067,FAM00477,0,1,,2,0,0,,0,1.0,0.247,54,0
SCR000068,FAM00402,0,0,,2,0,0,0.0,1,1.0,0.241,78,0
SCR000069,FAM00556,1,1,279.0,2,1,0,0.0,0,1.0,0.39,47,1
SCR000070,FAM00162,0,1,,2,1,0,1.0,0,,0.239,51,0
SCR000071,FAM00202,0,0,,2,1,1,0.0,0,8.0,0.438,60,1
SCR000072,FAM00270,0,1,,1,0,0,,0,2.0,0.252,65,0
SCR000073,FAM00271,1,1,44.0,2,1,1,0.0,0,,0.244,38,1
SCR000074,FAM00456,0,0,,1,1,0,,0,1.0,0.296,75,0
SCR000075,FAM00462,3,0,160.0,1,0,1,0.0,1,2.0,0.184,32,1
SCR000076,FAM00252,0,0,,1,1,0,1.0,1,,0.165,62,1
SCR000077,FAM00296,0,0,,3,0,0,1.0,0,1.0,0.312,56,0
SCR000078,FAM00338,0,0,,2,1,1,0.0,0,7.0,0.456,72,0
SCR000079,FAM00053,1,0,14.0,2,1,0,0.0,0,1.0,0.144,30,0
SCR000080,FAM00217,0,0,,3,1,0,0.0,0,1.0,0.184,73,0
SCR000081,FAM00188,0,0,,3,0,1,0.0,0,1.0,0.547,38,1
SCR000082,FAM00380,0,0,,2,0,1,,0,2.0,0.436,34,0
SCR000083,FAM00493,0,1,,2,0,1,0.0,1,1.0,0.114,44,1
SCR000084,FAM00041,0,0,,2,0,0,0.0,0,1.0,0.307,79,0
SCR000085,FAM00157,0,0,,2,0,0,0.0,0,1.0,0.29,38,1
SCR000086,FAM00015,1,0,16.0,2,1,1,1.0,0,2.0,0.173,74,0
SCR000087,FAM00065,1,0,91.0,3,1,0,0.0,0,1.0,0.303,57,0
SCR000088,FAM00521,0,1,,4,0,0,1.0,1,1.0,0.361,42,1
SCR000089,FAM00344,1,0,253.0,1,1,0,1.0,0,2.0,0.416,53,1
SCR000090,FAM00129,2,0,60.0,1,1,0,1.0,0,1.0,0.352,74,0
SCR000091,FAM00648,3,1,266.0,2,1,0,1.0,0,2.0,0.305,39,1
SCR000092,FAM00472,0,1,,2,1,0,0.0,0,1.0,0.093,71,0
SCR000093,FAM00063,2,0,21.0,1,1,0,,0,1.0,0.369,51,0
SCR000094,FAM00139,0,0,,4,0,0,0.0,0,2.0,0.326,68,0
SCR000095,FAM00499,0,0,,1,0,0,0.0,0,1.0,0.264,51,0
SCR000096,FAM00593,0,0,,4,0,0,1.0,0,1.0,0.308,66,0
SCR000097,FAM00392,0,0,,3,0,1,1.0,0,2.0,0.331,68,0
SCR000098,FAM00419,1,0,234.0,3,1,0,0.0,0,5.0,0.319,49,0
SCR000099,FAM00289,0,1,,1,1,0,0.0,0,3.0,0.451,39,1
SCR000100,FAM00379,0,0,,1,0,1,0.0,0,4.0,0.418,39,1
SCR000101,FAM00490,0,0,,2,0,0,0.0,0,5.0,0.292,55,0
SCR000102,FAM00231,0,1,,1,1,0,0.0,1,8.0,0.29,54,0
SCR000103,FAM00041,1,0,132.0,2,0,0,0.0,0,3.0,0.319,57,0
SCR000104,FAM00028,0,1,,2,0,1,1.0,0,2.0,0.219,42,1
SCR000105,FAM00135,0,1,,1,0,1,0.0,0,1.0,0.278,44,0
SCR000106,FAM00201,0,0,,1,0,1,1.0,0,1.0,0.422,35,0
SCR000107,FAM00033,1,0,301.0,3,1,1,,0,3.0,0.351,41,0
SCR000108,FAM00048,0,0,,1,0,0,1.0,1,11.0,0.114,48,0
SCR000109,FAM00503,0,0,,1,0,0,0.0,1,2.0,0.451,61,0
SCR000110,FAM00407,0,0,,2,1,0,1.0,0,3.0,0.384,40,0
SCR000111,FAM00574,2,0,23.0,5,0,0,0.0,0,2.0,0.452,67,0
SCR000112,FAM00099,0,1,,2,0,0,0.0,1,2.0,0.361,62,0
SCR000113,FAM00547,0,0,,1,0,0,,0,2.0,0.11,31,0
SCR000114,FAM00613,0,0,,2,0,0,,1,2.0,0.336,44,0
SCR000115,FAM00462,4,0,304.0,4,0,1,0.0,0,,0.447,65,1
SCR000116,FAM00643,2,0,230.0,3,1,0,0.0,0,,0.278,34,1
SCR000117,FAM00005,0,1,,2,1,0,0.0,0,5.0,0.188,44,0
SCR000118,FAM00218,0,0,,2,0,0,0.0,0,5.0,0.355,72,0
SCR000119,FAM00503,5,0,208.0,2,0,0,1.0,0,1.0,0.294,39,1
SCR000120,FAM00398,1,0,263.0,1,1,0,0.0,0,5.0,0.542,46,1
SCR000121,FAM00393,0,0,,3,1,0,0.0,0,1.0,0.31,63,0
SCR000122,FAM00207,0,0,,3,0,0,1.0,1,,0.427,53,0
SCR000123,FAM00015,3,0,265.0,5,0,1,1.0,0,3.0,0.332,39,1
SCR000124,FAM00554,0,0,,1,0,1,1.0,0,1.0,0.221,59,0
SCR000125,FAM00461,0,1,,1,1,0,0.0,0,1.0,0.344,32,0
SCR000126,FAM00575,0,1,,2,1,0,0.0,0,1.0,0.306,66,0
SCR000127,FAM00241,2,0,152.0,3,1,0,0.0,0,3.0,0.205,32,0
SCR000128,FAM00564,0,1,,3,0,1,1.0,0,1.0,0.344,69,1
SCR000129,FAM00096,0,0,,1,1,0,0.0,0,2.0,0.167,34,0
SCR000130,FAM00485,1,0,304.0,1,0,0,0.0,0,3.0,0.193,57,0
SCR000131,FAM00407,0,0,,2,1,1,0.0,0,3.0,0.397,73,0
SCR000132,FAM00231,0,0,,2,0,0,,0,5.0,0.326,43,1
SCR000133,FAM00171,0,0,,4,0,0,1.0,0,,0.436,68,0
SCR000134,FAM00541,0,0,,2,0,0,0.0,1,1.0,0.345,40,1
SCR000135,FAM00036,0,0,,3,1,0,0.0,1,1.0,0.345,37,0
SCR000136,FAM00525,0,1,,2,1,0,,1,2.0,0.35,66,0
SCR000137,FAM00160,0,0,,3,1,0,0.0,1,3.0,0.364,37,1
SCR000138,FAM00243,1,0,356.0,2,0,1,,0,1.0,0.293,41,0
SCR000139,FAM00086,0,1,,3,0,0,1.0,0,1.0,0.453,44,0
SCR000140,FAM00578,0,0,,1,0,0,,0,4.0,0.196,48,0
SCR000141,FAM00557,0,0,,2,0,0,0.0,0,3.0,0.191,77,0
SCR000142,FAM00574,1,1,301.0,1,0,1,0.0,1,3.0,0.327,75,1
SCR000143,FAM00646,1,0,6.0,2,1,0,,1,4.0,0.404,57,0
SCR000144,FAM00028,0,0,,2,0,0,,0,4.0,0.336,36,0
SCR000145,FAM00620,3,0,254.0,1,0,0,1.0,0,3.0,0.274,69,0
SCR000146,FAM00556,0,1,,5,0,1,0.0,0,,0.317,36,1
SCR000147,FAM00340,0,0,,1,0,0,0.0,0,9.0,0.342,59,1
SCR000148,FAM00331,0,1,,3,1,0,0.0,0,,0.232,47,0
SCR000149,FAM00640,1,0,295.0,5,1,0,0.0,0,1.0,0.241,53,0
SCR000150,FAM00506,1,0,118.0,1,0,1,,1,1.0,0.22,35,1
SCR000151,FAM00348,0,1,,3,1,0,1.0,0,3.0,0.309,33,0
SCR000152,FAM00473,0,0,,1,0,0,0.0,1,6.0,0.434,32,0
SCR000153,FAM00231,0,0,,1,1,1,0.0,0,1.0,0.391,78,0
SCR000154,FAM00190,1,0,54.0,2,0,1,0.0,1,1.0,0.264,76,0
SCR000155,FAM00225,0,1,,4,1,0,0.0,0,5.0,0.11,35,0
SCR000156,FAM00385,0,0,,1,1,1,0.0,1,5.0,0.361,55,0
SCR000157,FAM00377,1,0,209.0,2,0,0,0.0,0,1.0,0.384,73,0
SCR000158,FAM00283,0,0,,2,1,0,0.0,1,1.0,0.288,67,0
SCR000159,FAM00633,0,1,,4,0,1,0.0,0,3.0,0.197,40,0
SCR000160,FAM00628,5,0,7.0,1,0,0,0.0,0,1.0,0.263,58,0
SCR000161,FAM00259,1,0,78.0,3,0,0,,0,,0.445,49,0
SCR000162,FAM00359,3,0,65.0,3,0,0,0.0,1,1.0,0.384,39,0
SCR000163,FAM00456,1,0,102.0,3,0,0,0.0,0,1.0,0.175,55,0
SCR000164,FAM00411,0,0,,4,1,0,1.0,1,1.0,0.39,77,0
SCR000165,FAM00649,1,0,300.0,3,1,1,0.0,0,1.0,0.435,56,1
SCR000166,FAM00318,0,0,,1,1,1,1.0,0,1.0,0.235,79,0
SCR000167,FAM00225,0,0,,2,0,0,0.0,1,1.0,0.088,43,0
SCR000168,FAM00234,0,1,,2,1,0,1.0,0,,0.333,65,0
SCR000169,FAM00374,2,0,48.0,2,0,1,1.0,1,1.0,0.349,41,1
SCR000170,FAM00608,0,1,,2,0,0,1.0,0,5.0,0.352,52,0
SCR000171,FAM00472,1,0,82.0,2,1,0,,0,1.0,0.504,50,0
SCR000172,FAM00233,1,1,209.0,2,0,0,0.0,0,3.0,0.346,37,0
SCR000173,FAM00113,0,0,,5,1,0,,0,1.0,0.413,68,1
SCR000174,FAM00497,1,0,84.0,1,1,0,0.0,0,1.0,0.145,38,0
SCR000175,FAM00442,1,1,10.0,4,0,0,1.0,0,2.0,0.24,53,0
SCR000176,FAM00564,0,1,,2,0,0,0.0,0,2.0,0.177,60,0
SCR000177,FAM00268,0,0,,2,0,0,0.0,0,3.0,0.27,54,0
SCR000178,FAM00510,2,0,116.0,3,0,0,1.0,0,3.0,0.358,46,1
SCR000179,FAM00386,0,0,,2,1,1,0.0,0,3.0,0.39,71,0
SCR000180,FAM00387,2,0,47.0,2,0,1,1.0,0,2.0,0.246,58,1
SCR000181,FAM00113,0,0,,2,0,0,1.0,1,5.0,0.372,32,0
SCR000182,FAM00613,3,0,91.0,2,0,0,,0,2.0,0.039,50,0
SCR000183,FAM00625,0,1,,4,1,1,0.0,0,10.0,0.309,37,0
SCR000184,FAM00081,1,0,218.0,3,0,0,0.0,0,4.0,0.354,43,0
SCR000185,FAM00113,1,0,348.0,1,1,1,0.0,0,1.0,0.31,68,0
SCR000186,FAM00002,0,0,,1,1,0,1.0,0,1.0,0.204,45,0
SCR000187,FAM00642,0,0,,2,0,1,1.0,0,2.0,0.343,47,0
SCR000188,FAM00220,1,0,44.0,1,1,0,0.0,1,3.0,0.431,60,1
SCR000189,FAM00566,0,0,,2,0,0,0.0,0,2.0,0.487,40,0
SCR000190,FAM00225,1,0,2.0,1,0,0,0.0,0,4.0,0.19,67,0
SCR000191,FAM00385,1,1,357.0,2,1,0,0.0,0,1.0,0.415,49,1
SCR000192,FAM00403,0,0,,1,0,0,0.0,0,1.0,0.148,75,0
SCR000193,FAM00638,0,0,,2,0,0,,0,1.0,0.228,74,0
SCR000194,FAM00130,0,0,,3,0,1,0.0,0,2.0,0.334,33,0
SCR000195,FAM00053,2,1,58.0,2,0,0,0.0,0,3.0,0.273,49,1
SCR000196,FAM00416,0,0,,5,0,0,,0,1.0,0.196,60,0
SCR000197,FAM00247,0,0,,4,0,0,1.0,0,2.0,0.243,49,0
SCR000198,FAM00439,0,0,,2,0,0,1.0,0,1.0,0.252,40,0
SCR000199,FAM00203,0,1,,1,1,0,0.0,0,1.0,0.373,79,0
SCR000200,FAM00184,0,0,,3,0,0,0.0,0,3.0,0.411,30,1
SCR000201,FAM00123,0,0,,4,1,0,,0,1.0,0.286,73,1
SCR000202,FAM00401,1,1,75.0,3,0,0,0.0,0,3.0,0.404,47,0
SCR000203,FAM00294,0,0,,1,0,0,0.0,0,,0.445,68,0
SCR000204,FAM00280,2,0,78.0,5,1,0,1.0,0,4.0,0.458,73,1
SCR000205,FAM00610,0,0,,1,0,0,,0,,0.357,62,0
SCR000206,FAM00198,2,0,265.0,3,0,0,0.0,0,2.0,0.445,65,0
SCR000207,FAM00511,1,0,304.0,4,1,1,0.0,0,3.0,0.334,47,1
SCR000208,FAM00144,0,0,,1,0,0,,0,3.0,0.456,76,0
SCR000209,FAM00609,0,0,,4,0,0,1.0,0,4.0,0.318,60,1
SCR000210,FAM00201,0,0,,2,1,0,0.0,0,1.0,0.164,64,1
SCR000211,FAM00124,0,1,,5,0,0,0.0,0,1.0,0.382,68,1
SCR000212,FAM00187,1,0,172.0,1,1,0,0.0,0,2.0,0.379,67,0
SCR000213,FAM00326,2,0,254.0,5,0,0,0.0,0,3.0,0.397,44,0
SCR000214,FAM00464,0,0,,1,0,1,0.0,0,1.0,0.416,76,0
SCR000215,FAM00349,3,0,188.0,3,0,1,0.0,0,1.0,0.324,35,1
SCR000216,FAM00403,0,0,,2,0,1,0.0,0,3.0,0.405,37,0
SCR000217,FAM00346,0,0,,2,0,0,0.0,0,1.0,0.225,69,0
SCR000218,FAM00511,1,1,86.0,1,0,0,0.0,0,1.0,0.35,51,0
SCR000219,FAM00147,0,0,,3,1,0,1.0,1,1.0,0.373,30,1
SCR000220,FAM00148,1,1,332.0,1,0,1,,0,,0.419,42,1
SCR000221,FAM00489,3,1,296.0,2,1,0,0.0,0,2.0,0.369,53,1
SCR000222,FAM00640,2,0,19.0,1,0,0,,0,1.0,0.394,50,0
SCR000223,FAM00551,0,0,,5,1,0,0.0,0,1.0,0.448,74,0
SCR000224,FAM00338,1,1,65.0,1,1,0,0.0,0,1.0,0.326,72,0
SCR000225,FAM00641,1,1,146.0,1,1,1,0.0,1,1.0,0.258,33,0
SCR000226,FAM00473,1,0,286.0,1,0,0,0.0,1,3.0,0.328,36,0
SCR000227,FAM00151,0,0,,2,1,0,0.0,0,1.0,0.401,41,0
SCR000228,FAM00415,1,0,5.0,1,0,0,0.0,0,2.0,0.352,42,0
SCR000229,FAM00298,1,1,93.0,2,1,1,,0,1.0,0.308,73,0
SCR000230,FAM00611,0,0,,4,1,0,1.0,0,,0.284,45,0
SCR000231,FAM00263,0,0,,3,0,1,0.0,0,1.0,0.264,35,1
SCR000232,FAM00144,2,1,106.0,2,0,0,,0,1.0,0.38,43,1
SCR000233,FAM00346,3,0,133.0,1,1,1,,0,3.0,0.252,77,0
SCR000234,FAM00624,0,0,,3,0,1,,0,2.0,0.365,60,0
SCR000235,FAM00572,0,0,,1,0,0,0.0,0,4.0,0.368,65,0
SCR000236,FAM00002,0,1,,3,0,0,1.0,1,1.0,0.43,66,0
SCR000237,FAM00304,0,0,,1,1,0,1.0,0,1.0,0.402,70,0
SCR000238,FAM00254,0,0,,2,1,0,0.0,1,,0.455,64,1
SCR000239,FAM00453,1,0,159.0,2,0,1,0.0,0,3.0,0.474,39,1
SCR000240,FAM00037,0,0,,4,1,0,0.0,0,1.0,0.351,46,0
SCR000241,FAM00160,2,0,149.0,1,0,0,1.0,0,2.0,0.294,71,0
SCR000242,FAM00009,0,0,,2,0,0,0.0,0,1.0,0.225,59,0
SCR000243,FAM00233,0,0,,1,0,0,0.0,0,1.0,0.2,73,0
SCR000244,FAM00099,0,1,,3,0,1,0.0,1,6.0,0.407,36,1
SCR000245,FAM00208,0,1,,4,0,0,0.0,1,2.0,0.439,47,0
SCR000246,FAM00131,2,0,356.0,2,1,1,0.0,0,4.0,0.124,48,1
SCR000247,FAM00404,0,0,,2,0,1,0.0,0,3.0,0.415,44,0
SCR000248,FAM00152,7,0,193.0,4,0,0,0.0,0,2.0,0.262,68,1
SCR000249,FAM00054,0,1,,2,0,0,0.0,0,1.0,0.315,73,0
SCR000250,FAM00120,0,0,,2,0,1,0.0,0,3.0,0.215,51,0
SCR000251,FAM00628,0,0,,2,0,0,1.0,0,1.0,0.387,68,0
SCR000252,FAM00587,0,0,,3,0,0,,0,2.0,0.319,71,0
SCR000253,FAM00625,1,0,55.0,1,0,0,1.0,0,2.0,0.359,59,0
SCR000254,FAM00420,1,0,258.0,3,0,0,0.0,0,4.0,0.415,49,0
SCR000255,FAM00422,0,0,,2,0,1,0.0,0,3.0,0.392,61,0
SCR000256,FAM00104,1,0,172.0,1,0,0,1.0,0,3.0,0.313,71,0
SCR000257,FAM00254,0,0,,3,1,0,0.0,1,1.0,0.388,54,1
SCR000258,FAM00227,0,0,,2,1,1,1.0,0,1.0,0.213,52,0
SCR000259,FAM00112,0,0,,1,1,1,1.0,1,1.0,0.275,34,0
SCR000260,FAM00510,0,0,,2,1,0,0.0,1,3.0,0.376,79,1
SCR000261,FAM00473,0,0,,4,1,1,0.0,1,7.0,0.346,70,0
SCR000262,FAM00099,3,0,286.0,4,1,0,0.0,0,1.0,0.384,59,0
SCR000263,FAM00153,2,0,10.0,5,1,1,0.0,0,1.0,0.546,77,0
SCR000264,FAM00338,1,0,227.0,4,1,0,0.0,1,2.0,0.329,68,0
SCR000265,FAM00163,1,0,186.0,1,0,0,0.0,0,4.0,0.278,56,0
SCR000266,FAM00161,0,0,,2,0,1,0.0,0,2.0,0.193,71,0
SCR000267,FAM00580,0,0,,3,0,0,0.0,1,1.0,0.083,66,0
SCR000268,FAM00398,2,1,134.0,2,0,1,1.0,0,8.0,0.294,36,0
SCR000269,FAM00277,3,0,323.0,2,1,0,1.0,1,4.0,0.211,34,1
SCR000270,FAM00504,0,0,,2,0,1,0.0,0,1.0,0.136,44,0
SCR000271,FAM00392,1,0,171.0,2,0,1,1.0,1,6.0,0.274,71,1
SCR000272,FAM00135,0,0,,4,1,0,0.0,0,2.0,0.239,37,0
SCR000273,FAM00195,1,0,18.0,2,0,1,0.0,0,1.0,0.31,38,0
SCR000274,FAM00401,0,0,,2,0,0,0.0,0,2.0,0.395,40,1
SCR000275,FAM00640,0,0,,5,0,1,,1,4.0,0.345,51,0
SCR000276,FAM00033,0,0,,2,0,0,0.0,1,3.0,0.28,63,0
SCR000277,FAM00460,0,0,,1,0,1,1.0,1,1.0,0.446,64,0
SCR000278,FAM00470,0,1,,2,1,0,1.0,0,7.0,0.406,42,1
SCR000279,FAM00375,1,1,278.0,3,0,0,0.0,0,1.0,0.4,40,1
SCR000280,FAM00022,0,0,,3,1,0,,0,3.0,0.289,61,0
SCR000281,FAM00038,1,0,109.0,3,0,0,0.0,1,3.0,0.349,71,1
SCR000282,FAM00230,0,0,,3,0,1,0.0,0,1.0,0.135,44,1
SCR000283,FAM00365,0,0,,1,0,0,1.0,0,1.0,0.443,67,0
SCR000284,FAM00563,1,0,168.0,4,0,0,0.0,0,5.0,0.194,30,0
SCR000285,FAM00438,0,0,,4,1,0,0.0,1,2.0,0.323,75,1
SCR000286,FAM00283,0,0,,1,1,0,0.0,1,3.0,0.42,79,0
SCR000287,FAM00027,0,0,,1,1,0,0.0,0,2.0,0.365,53,0
SCR000288,FAM00226,1,0,358.0,5,1,1,0.0,0,3.0,0.335,72,0
SCR000289,FAM00277,0,0,,4,0,1,,0,2.0,0.277,69,0
SCR000290,FAM00609,2,1,215.0,4,1,0,0.0,0,1.0,0.429,51,1
SCR000291,FAM00284,0,0,,4,1,0,0.0,0,1.0,0.268,32,1
SCR000292,FAM00481,0,0,,2,0,0,,1,4.0,0.351,43,0
SCR000293,FAM00453,0,0,,2,0,0,0.0,0,2.0,0.237,31,0
SCR000294,FAM00516,0,0,,2,0,0,,0,1.0,0.504,61,0
SCR000295,FAM00547,1,0,141.0,1,0,1,0.0,0,6.0,0.245,77,0
SCR000296,FAM00192,0,0,,3,1,0,0.0,0,4.0,0.444,67,0
SCR000297,FAM00049,1,0,9.0,2,0,1,0.0,1,1.0,0.424,62,0
SCR000298,FAM00512,0,0,,2,0,0,0.0,0,14.0,0.348,75,0
SCR000299,FAM00017,1,0,295.0,2,0,0,0.0,0,3.0,0.422,71,0
SCR000300,FAM00172,0,0,,2,1,0,0.0,0,1.0,0.409,35,1
SCR000301,FAM00220,1,0,118.0,1,0,0,1.0,0,1.0,0.445,70,0
SCR000302,FAM00158,1,0,290.0,1,1,0,0.0,0,3.0,0.256,68,0
SCR000303,FAM00477,0,0,,1,1,1,0.0,0,4.0,0.281,54,0
SCR000304,FAM00046,0,0,,1,0,0,0.0,0,1.0,0.31,63,0
SCR000305,FAM00373,0,1,,5,0,1,,0,1.0,0.202,40,1
SCR000306,FAM00518,0,0,,1,0,0,0.0,0,1.0,0.282,75,0
SCR000307,FAM00099,0,0,,1,1,0,0.0,0,2.0,0.411,66,0
SCR000308,FAM00037,1,0,122.0,2,0,0,1.0,0,1.0,0.288,70,0
SCR000309,FAM00280,2,1,167.0,2,1,0,,0,1.0,0.291,36,0
SCR000310,FAM00349,0,1,,1,1,0,,0,3.0,0.306,75,1
SCR000311,FAM00497,1,0,45.0,3,0,0,0.0,0,4.0,0.313,77,0
SCR000312,FAM00302,1,0,344.0,3,0,0,,0,2.0,0.316,51,1
SCR000313,FAM00181,0,0,,1,0,0,0.0,0,1.0,0.338,77,0
SCR000314,FAM00607,2,0,284.0,1,0,0,,0,2.0,0.411,68,0
SCR000315,FAM00099,0,0,,4,0,0,1.0,0,1.0,0.397,39,0
SCR000316,FAM00116,3,0,27.0,3,0,0,0.0,0,,0.402,50,1
SCR000317,FAM00191,1,0,193.0,3,1,1,0.0,0,3.0,0.35,35,1
SCR000318,FAM00253,0,0,,1,0,0,1.0,0,1.0,0.377,78,0
SCR000319,FAM00161,0,1,,2,0,1,1.0,1,1.0,0.112,30,1
SCR000320,FAM00256,0,0,,2,1,0,1.0,0,2.0,0.135,63,0
SCR000321,FAM00323,0,0,,1,0,0,,1,2.0,0.188,43,0
SCR000322,FAM00128,0,0,,2,0,0,0.0,0,2.0,0.104,65,0
SCR000323,FAM00018,2,1,121.0,2,1,1,1.0,0,4.0,0.195,56,1
SCR000324,FAM00566,0,1,,2,1,0,0.0,0,3.0,0.307,38,1
SCR000325,FAM00570,1,0,39.0,3,0,1,1.0,0,2.0,0.267,35,0
SCR000326,FAM00323,0,0,,3,1,0,1.0,0,4.0,0.376,60,0
SCR000327,FAM00626,1,1,94.0,2,0,0,0.0,0,3.0,0.342,46,0
SCR000328,FAM00288,0,0,,3,0,0,1.0,0,4.0,0.322,72,0
SCR000329,FAM00639,0,0,,1,0,0,0.0,0,7.0,0.395,65,0
SCR000330,FAM00155,1,0,121.0,3,0,0,0.0,0,1.0,0.272,50,0
SCR000331,FAM00490,0,0,,1,0,0,,1,1.0,0.47,56,0
